	Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	SNCG	SST	VIP	VLMC
82	0.03	0.02	0.03	0.03	0.18	0.06	0.06	0.22	0.07	0.0	0.01	0.07	0.0	0.01	0.0	0.05	0.07	0.09
83	0.03	0.08	0.01	0.03	0.05	0.02	0.0	0.01	0.05	0.03	0.03	0.06	0.04	0.03	0.11	0.21	0.16	0.05
84	0.04	0.01	0.0	0.01	0.39	0.02	0.0	0.07	0.07	0.04	0.01	0.02	0.04	0.01	0.02	0.16	0.08	0.01
85	0.01	0.07	0.05	0.02	0.24	0.14	0.02	0.08	0.07	0.04	0.01	0.06	0.0	0.03	0.02	0.04	0.03	0.07
86	0.01	0.01	0.0	0.12	0.34	0.06	0.04	0.06	0.06	0.05	0.02	0.08	0.02	0.02	0.0	0.02	0.01	0.08
87	0.02	0.02	0.02	0.0	0.07	0.03	0.01	0.02	0.01	0.02	0.09	0.1	0.45	0.03	0.01	0.03	0.04	0.03
88	0.05	0.01	0.02	0.0	0.07	0.01	0.01	0.0	0.01	0.01	0.07	0.02	0.63	0.0	0.01	0.01	0.04	0.03
89	0.05	0.09	0.0	0.01	0.11	0.06	0.09	0.02	0.05	0.02	0.04	0.03	0.04	0.0	0.07	0.05	0.24	0.03
90	0.02	0.08	0.0	0.01	0.23	0.04	0.07	0.06	0.04	0.05	0.07	0.04	0.05	0.0	0.02	0.06	0.14	0.02
91	0.04	0.12	0.06	0.01	0.24	0.03	0.01	0.03	0.04	0.01	0.05	0.01	0.14	0.01	0.04	0.05	0.1	0.01
92	0.74	0.0	0.0	0.0	0.03	0.0	0.0	0.01	0.09	0.03	0.0	0.03	0.01	0.0	0.0	0.01	0.05	0.0
93	0.01	0.02	0.01	0.02	0.05	0.0	0.0	0.0	0.0	0.0	0.02	0.06	0.04	0.02	0.04	0.02	0.68	0.01
94	0.12	0.01	0.04	0.0	0.09	0.03	0.0	0.02	0.01	0.01	0.11	0.03	0.29	0.01	0.02	0.12	0.06	0.03
95	0.04	0.01	0.01	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.08	0.03	0.73	0.0	0.01	0.02	0.03	0.0
96	0.07	0.04	0.06	0.02	0.08	0.0	0.01	0.02	0.03	0.05	0.02	0.04	0.03	0.0	0.04	0.04	0.43	0.02
97	0.04	0.03	0.0	0.02	0.0	0.01	0.0	0.01	0.05	0.0	0.59	0.0	0.07	0.01	0.0	0.03	0.04	0.1
98	0.01	0.05	0.01	0.04	0.34	0.15	0.0	0.09	0.02	0.03	0.02	0.08	0.01	0.04	0.02	0.04	0.01	0.04
99	0.82	0.02	0.0	0.01	0.0	0.0	0.0	0.06	0.05	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0
